Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 15:55:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 169°; 100%; 39%; 65%; 95%; 91.2%; 417°; 59°; 31°; 59%; 20°; 0°; 22°; 0°; 21°; 127°; 127°; 10880; 16636h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.50A; 
2024-05-24; 15:56:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 160°; 170°; 100%; 39%; 65%; 95%; 91.0%; 417°; 60°; 31°; 53%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.20A; 
2024-05-24; 15:57:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 169°; 98%; 39%; 65%; 95%; 90.9%; 417°; 60°; 31°; 52%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.29A; 
2024-05-24; 15:58:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 171°; 100%; 39%; 65%; 95%; 90.7%; 418°; 61°; 32°; 57%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 33°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.63A; 
2024-05-24; 15:59:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 162°; 171°; 100%; 39%; 65%; 95%; 90.5%; 418°; 61°; 32°; 51%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 33°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.76A; 
2024-05-24; 16:00:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 170°; 100%; 39%; 65%; 95%; 90.4%; 419°; 62°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 33°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-05-24; 16:01:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 171°; 99%; 39%; 65%; 95%; 90.2%; 420°; 62°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.74A; 
2024-05-24; 16:02:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 171°; 100%; 39%; 65%; 95%; 90.1%; 420°; 62°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.84A; 
2024-05-24; 16:03:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 171°; 100%; 39%; 65%; 95%; 89.9%; 420°; 63°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.59A; 
2024-05-24; 16:04:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 171°; 100%; 39%; 65%; 95%; 89.7%; 420°; 63°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.57A; 
2024-05-24; 16:05:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 171°; 100%; 39%; 65%; 95%; 89.6%; 420°; 64°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.69A; 
