Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-03-04; 01:01:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 42°; 52°; 63%; 0%; 0%; 0%; 100.0%; 403°; 60°; 30°; 0%; -4°; 30°; 30°; 42°; 46°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 01:02:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 42°; 51°; 63%; 0%; 0%; 0%; 100.0%; 403°; 60°; 30°; 0%; -4°; 30°; 30°; 42°; 40°; 127°; 127°; 11139; 17073h; 34°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 01:03:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 52°; 63%; 0%; 0%; 0%; 100.0%; 402°; 60°; 30°; 0%; -4°; 30°; 30°; 42°; 38°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 01:04:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 60°; 30°; 0%; -4°; 30°; 30°; 42°; 37°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 01:05:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 60°; 30°; 0%; -4°; 30°; 31°; 42°; 42°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 01:06:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 59°; 30°; 0%; -4°; 30°; 32°; 42°; 46°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-03-04; 01:07:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 59°; 30°; 0%; -4°; 30°; 32°; 42°; 48°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 01:08:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 59°; 30°; 0%; -4°; 30°; 32°; 42°; 45°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-03-04; 01:09:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 59°; 30°; 0%; -4°; 30°; 32°; 42°; 41°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-03-04; 01:10:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 59°; 30°; 0%; -4°; 30°; 32°; 42°; 40°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-03-04; 01:11:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 402°; 59°; 30°; 0%; -4°; 30°; 33°; 42°; 40°; 127°; 127°; 11139; 17073h; 33°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
